Temperature (K)	Resistance (ohm)	Applied Current (mA)
293.213000	12.040750	0.100000
293.142000	12.039750	0.100000
292.962000	12.037000	0.100000
292.706000	12.031000	0.100000
292.400000	12.025250	0.100000
292.057000	12.014625	0.100000
291.650000	12.003500	0.100000
291.226000	11.993125	0.100000
290.749000	11.979125	0.100000
290.258000	11.960250	0.100000
289.769000	11.943125	0.100000
289.263000	11.925325	0.100000
288.747000	11.908262	0.100000
288.270000	11.890325	0.100000
287.822000	11.872612	0.100000
287.415000	11.855963	0.100000
287.060000	11.842125	0.100000
286.725000	11.827325	0.100000
286.401000	11.811700	0.100000
286.103000	11.799563	0.100000
285.820000	11.787388	0.100000
285.536000	11.773325	0.100000
285.265000	11.761500	0.100000
285.010000	11.749363	0.100000
284.752000	11.736462	0.100000
284.505000	11.722288	0.100000
284.252000	11.709025	0.100000
284.003000	11.700150	0.100000
283.756000	11.689837	0.100000
283.507000	11.679237	0.100000
283.271000	11.672937	0.100000
283.020000	11.661875	0.100000
282.768000	11.653425	0.100000
282.511000	11.642825	0.100000
282.254000	11.633588	0.100000
281.990000	11.621350	0.100000
281.729000	11.610275	0.100000
281.467000	11.599375	0.100000
281.206000	11.590688	0.100000
280.950000	11.581150	0.100000
280.698000	11.572800	0.100000
280.452000	11.562550	0.100000
280.215000	11.553387	0.100000
279.964000	11.542062	0.100000
279.715000	11.532550	0.100000
279.465000	11.523900	0.100000
279.208000	11.512462	0.100000
278.956000	11.504000	0.100000
278.703000	11.493950	0.100000
278.466000	11.484863	0.100000
278.241000	11.473500	0.100000
278.027000	11.463300	0.100000
277.826000	11.452662	0.100000
277.629000	11.443912	0.100000
277.432000	11.437075	0.100000
277.240000	11.428725	0.100000
277.051000	11.420388	0.100000
276.862000	11.415550	0.100000
276.674000	11.405425	0.100000
276.492000	11.398350	0.100000
276.307000	11.392212	0.100000
276.122000	11.383850	0.100000
275.935000	11.377750	0.100000
275.748000	11.368675	0.100000
275.571000	11.363700	0.100000
275.382000	11.355950	0.100000
275.192000	11.347987	0.100000
275.004000	11.339887	0.100000
274.821000	11.335050	0.100000
274.639000	11.328138	0.100000
274.460000	11.320512	0.100000
274.277000	11.310638	0.100000
274.092000	11.303013	0.100000
273.917000	11.299062	0.100000
273.734000	11.289237	0.100000
273.547000	11.283200	0.100000
273.368000	11.279487	0.100000
273.186000	11.273087	0.100000
273.010000	11.269787	0.100000
