Temperature (K)	Resistance (ohm)	Applied Current (mA)
173.332000	6.611625	0.100000
Temperature (K)	Resistance (ohm)	Applied Current (mA)
172.727000	7.538875	0.100000
172.345000	7.519250	0.100000
171.992000	7.518625	0.100000
171.648000	7.503625	0.100000
171.319000	7.495750	0.100000
171.004000	7.482750	0.100000
170.711000	7.472625	0.100000
170.424000	7.461250	0.100000
170.153000	7.456500	0.100000
169.892000	7.438875	0.100000
169.635000	7.427750	0.100000
169.385000	7.428125	0.100000
169.146000	7.422875	0.100000
168.913000	7.402500	0.100000
168.692000	7.406750	0.100000
168.465000	7.392125	0.100000
168.241000	7.389250	0.100000
168.014000	7.377375	0.100000
167.790000	7.370000	0.100000
167.572000	7.362875	0.100000
167.356000	7.354750	0.100000
167.139000	7.350250	0.100000
166.927000	7.341750	0.100000
166.708000	7.336625	0.100000
166.498000	7.330750	0.100000
166.304000	7.321000	0.100000
166.121000	7.319875	0.100000
165.956000	7.310250	0.100000
165.797000	7.307125	0.100000
165.643000	7.302625	0.100000
165.496000	7.296625	0.100000
165.355000	7.291375	0.100000
165.200000	7.283375	0.100000
165.034000	7.275000	0.100000
164.858000	7.271500	0.100000
164.678000	7.270250	0.100000
164.492000	7.266500	0.100000
164.292000	7.253500	0.100000
164.089000	7.249125	0.100000
163.890000	7.240250	0.100000
163.686000	7.235750	0.100000
163.491000	7.230750	0.100000
163.304000	7.223625	0.100000
163.123000	7.218250	0.100000
162.945000	7.211500	0.100000
162.766000	7.204500	0.100000
162.603000	7.203625	0.100000
162.433000	7.194500	0.100000
162.268000	7.186625	0.100000
162.093000	7.185000	0.100000
161.908000	7.178750	0.100000
161.702000	7.167250	0.100000
161.497000	7.166625	0.100000
161.279000	7.160125	0.100000
161.060000	7.150875	0.100000
160.832000	7.141625	0.100000
160.592000	7.135000	0.100000
160.347000	7.130125	0.100000
160.105000	7.123375	0.100000
159.865000	7.116625	0.100000
159.617000	7.111375	0.100000
159.378000	7.098250	0.100000
159.123000	7.090000	0.100000
158.872000	7.083125	0.100000
158.614000	7.075500	0.100000
158.343000	7.066750	0.100000
158.082000	7.056750	0.100000
157.812000	7.051500	0.100000
157.545000	7.043375	0.100000
157.288000	7.034000	0.100000
157.021000	7.025875	0.100000
156.765000	7.018375	0.100000
156.503000	7.006750	0.100000
156.242000	7.000375	0.100000
155.971000	6.990500	0.100000
155.707000	6.979000	0.100000
155.435000	6.976375	0.100000
155.200000	5.223125	0.100000
154.943000	6.962000	0.100000
154.685000	6.950625	0.100000
154.414000	6.939250	0.100000
154.152000	6.933625	0.100000
153.885000	6.927375	0.100000
153.620000	6.914125	0.100000
153.349000	6.907375	0.100000
153.079000	6.896250	0.100000
152.809000	6.888625	0.100000
152.545000	6.880250	0.100000
152.283000	6.871250	0.100000
152.026000	6.863375	0.100000
151.762000	6.851625	0.100000
151.493000	6.843125	0.100000
151.237000	6.834750	0.100000
150.976000	6.821250	0.100000
150.719000	6.816625	0.100000
150.455000	6.803750	0.100000
150.186000	6.797625	0.100000
149.919000	6.786625	0.100000
149.656000	6.783500	0.100000
149.393000	6.775000	0.100000
149.133000	6.762375	0.100000
148.872000	6.750250	0.100000
148.613000	6.745375	0.100000
148.351000	6.736625	0.100000
148.091000	6.731125	0.100000
147.838000	6.719375	0.100000
147.578000	6.709125	0.100000
147.311000	6.700875	0.100000
147.052000	6.690750	0.100000
146.798000	6.681125	0.100000
146.557000	6.679625	0.100000
146.311000	6.664625	0.100000
146.055000	6.655000	0.100000
145.794000	6.647000	0.100000
145.535000	6.640750	0.100000
145.277000	6.628875	0.100000
145.028000	6.622375	0.100000
144.763000	6.614625	0.100000
144.505000	6.608375	0.100000
144.247000	6.599625	0.100000
143.984000	6.587875	0.100000
143.737000	6.578625	0.100000
143.480000	6.576500	0.100000
143.223000	6.564000	0.100000
142.982000	6.557250	0.100000
142.731000	6.552125	0.100000
142.478000	6.536875	0.100000
142.220000	6.530875	0.100000
141.967000	6.527000	0.100000
141.717000	6.518000	0.100000
141.457000	6.504875	0.100000
141.198000	6.493000	0.100000
140.932000	6.494000	0.100000
140.680000	6.484125	0.100000
140.424000	6.472125	0.100000
140.167000	6.466625	0.100000
139.913000	6.456125	0.100000
139.664000	6.446125	0.100000
139.409000	6.439000	0.100000
139.150000	6.432750	0.100000
138.893000	6.417750	0.100000
138.638000	6.415125	0.100000
138.379000	6.407625	0.100000
138.120000	6.388500	0.100000
137.863000	6.387875	0.100000
137.612000	6.382000	0.100000
137.356000	6.371375	0.100000
137.107000	6.360250	0.100000
136.856000	6.352625	0.100000
136.607000	6.347375	0.100000
136.351000	6.335125	0.100000
136.086000	6.325875	0.100000
135.829000	6.315625	0.100000
135.577000	6.310875	0.100000
135.319000	6.296000	0.100000
135.050000	6.289250	0.100000
134.806000	6.288875	0.100000
134.548000	6.270625	0.100000
134.281000	6.263875	0.100000
134.042000	4.695625	0.100000
133.780000	6.250625	0.100000
133.511000	6.241375	0.100000
133.251000	6.228500	0.100000
132.996000	6.224000	0.100000
132.737000	6.216875	0.100000
132.478000	6.201125	0.100000
132.221000	6.192250	0.100000
131.962000	6.188250	0.100000
131.705000	6.180625	0.100000
131.449000	6.167500	0.100000
131.186000	6.159875	0.100000
130.919000	6.151500	0.100000
130.662000	6.141750	0.100000
130.407000	6.137375	0.100000
130.151000	6.127875	0.100000
129.895000	6.117875	0.100000
129.640000	6.103875	0.100000
129.376000	6.098500	0.100000
129.120000	6.092000	0.100000
128.863000	6.076625	0.100000
128.608000	6.071125	0.100000
128.354000	6.065875	0.100000
128.099000	6.048875	0.100000
127.837000	6.043250	0.100000
127.588000	6.038875	0.100000
127.328000	6.030000	0.100000
127.070000	6.017250	0.100000
126.804000	6.010250	0.100000
126.553000	6.003125	0.100000
126.290000	5.991625	0.100000
126.026000	5.983875	0.100000
125.788000	5.986625	0.100000
125.530000	5.969500	0.100000
125.266000	5.956375	0.100000
125.008000	5.952500	0.100000
124.755000	5.938375	0.100000
124.495000	5.931750	0.100000
124.235000	5.920375	0.100000
123.975000	5.917000	0.100000
123.717000	5.908000	0.100000
123.459000	5.900625	0.100000
123.196000	5.891000	0.100000
122.946000	5.883625	0.100000
122.689000	5.874375	0.100000
122.423000	5.866250	0.100000
122.161000	5.853000	0.100000
121.899000	5.847000	0.100000
121.634000	5.840875	0.100000
121.372000	5.829625	0.100000
121.105000	5.816250	0.100000
120.849000	5.811750	0.100000
120.599000	5.803000	0.100000
120.355000	5.798500	0.100000
120.106000	5.783875	0.100000
119.854000	5.777500	0.100000
119.596000	5.768500	0.100000
119.339000	5.757250	0.100000
119.084000	5.749500	0.100000
118.822000	5.740875	0.100000
118.572000	5.732375	0.100000
118.322000	5.730125	0.100000
118.065000	5.720125	0.100000
117.800000	5.708125	0.100000
117.550000	5.699375	0.100000
117.303000	5.692375	0.100000
117.046000	5.680875	0.100000
116.791000	5.672875	0.100000
116.533000	5.668125	0.100000
116.284000	5.662250	0.100000
116.028000	5.652750	0.100000
115.779000	5.643000	0.100000
115.516000	5.629750	0.100000
115.262000	5.622500	0.100000
114.999000	5.613625	0.100000
114.757000	5.611750	0.100000
114.510000	5.594875	0.100000
114.247000	5.588125	0.100000
113.992000	5.576750	0.100000
113.740000	5.561750	0.100000
113.487000	5.562125	0.100000
113.235000	5.551625	0.100000
112.977000	5.540500	0.100000
112.714000	5.529375	0.100000
112.451000	5.524500	0.100000
112.200000	5.518375	0.100000
111.940000	5.505250	0.100000
111.677000	5.500375	0.100000
111.410000	5.487750	0.100000
111.144000	5.480375	0.100000
110.884000	5.473750	0.100000
110.623000	5.461875	0.100000
110.358000	5.454875	0.100000
110.096000	5.444000	0.100000
109.825000	5.434000	0.100000
109.563000	5.429375	0.100000
109.302000	5.416250	0.100000
109.038000	5.402250	0.100000
108.777000	5.403000	0.100000
108.519000	5.382375	0.100000
108.255000	5.378625	0.100000
107.991000	5.374000	0.100000
107.735000	5.357375	0.100000
107.469000	5.355625	0.100000
107.202000	5.345875	0.100000
106.932000	5.331625	0.100000
106.657000	5.321500	0.100000
106.396000	5.319000	0.100000
106.127000	5.306375	0.100000
105.859000	5.299000	0.100000
105.588000	5.285500	0.100000
105.308000	5.278500	0.100000
105.036000	5.269625	0.100000
104.757000	5.254125	0.100000
104.481000	5.251625	0.100000
104.207000	5.239750	0.100000
103.933000	5.227125	0.100000
103.653000	5.217625	0.100000
103.379000	5.211750	0.100000
103.111000	5.199750	0.100000
102.826000	5.193375	0.100000
102.538000	5.179000	0.100000
102.272000	3.875375	0.100000
101.989000	5.164500	0.100000
101.713000	5.153000	0.100000
101.431000	5.141375	0.100000
101.158000	5.129125	0.100000
100.885000	5.123000	0.100000
100.615000	5.117625	0.100000
100.350000	5.107250	0.100000
100.085000	5.096625	0.100000
99.826000	5.088500	0.100000
99.554000	5.073750	0.100000
99.299000	5.066875	0.100000
99.029000	5.062000	0.100000
98.761000	5.053125	0.100000
98.494000	5.039125	0.100000
98.242000	5.034500	0.100000
97.991000	5.029125	0.100000
97.733000	5.013125	0.100000
97.475000	5.006625	0.100000
97.217000	4.995875	0.100000
96.953000	4.987625	0.100000
96.702000	4.981000	0.100000
96.448000	4.978250	0.100000
96.189000	4.960750	0.100000
95.927000	4.948875	0.100000
95.666000	4.944250	0.100000
95.397000	4.929250	0.100000
95.131000	4.920375	0.100000
94.862000	4.907250	0.100000
94.600000	4.905250	0.100000
94.338000	4.893500	0.100000
94.076000	4.882250	0.100000
93.813000	4.875000	0.100000
93.557000	4.867000	0.100000
93.293000	4.859000	0.100000
93.032000	4.848375	0.100000
92.781000	4.839000	0.100000
92.525000	4.825875	0.100000
92.284000	4.821875	0.100000
92.029000	4.807375	0.100000
91.772000	4.802875	0.100000
91.516000	4.790125	0.100000
91.251000	4.779875	0.100000
91.010000	4.785000	0.100000
90.753000	4.761750	0.100000
90.488000	4.750250	0.100000
90.231000	4.742500	0.100000
89.973000	4.731625	0.100000
89.706000	4.723000	0.100000
89.429000	4.713125	0.100000
89.178000	4.714500	0.100000
88.903000	4.695875	0.100000
88.610000	4.682625	0.100000
88.335000	4.675000	0.100000
88.044000	4.660500	0.100000
87.731000	4.644500	0.100000
87.376000	4.637375	0.100000
86.973000	4.626625	0.100000
86.484000	4.606750	0.100000
85.960000	4.595375	0.100000
85.372000	4.569375	0.100000
84.732000	4.542500	0.100000
84.111000	4.520375	0.100000
83.541000	4.500250	0.100000
83.008000	4.482125	0.100000
82.542000	4.460125	0.100000
82.128000	4.443500	0.100000
81.735000	4.423875	0.100000
81.355000	4.403125	0.100000
81.021000	4.387250	0.100000
80.749000	4.378000	0.100000
80.536000	4.365375	0.100000
80.380000	4.359375	0.100000
80.271000	4.349750	0.100000
80.184000	4.347250	0.100000
80.128000	4.347375	0.100000
80.089000	4.346125	0.100000
80.061000	4.339625	0.100000
80.043000	4.340875	0.100000
80.029000	4.337125	0.100000
80.017000	4.336000	0.100000
80.012000	4.334000	0.100000
80.003000	4.331875	0.100000
79.999000	4.339375	0.100000
80.002000	4.332000	0.100000
79.994000	4.324625	0.100000
79.995000	4.333125	0.100000
79.991000	4.333000	0.100000
79.984000	4.330500	0.100000
79.985000	4.324250	0.100000
79.983000	4.322750	0.100000
79.987000	4.327625	0.100000
79.987000	4.324375	0.100000
79.989000	4.325375	0.100000
79.991000	4.327750	0.100000
79.988000	4.323750	0.100000
79.984000	4.330875	0.100000
79.985000	4.319000	0.100000
79.980000	4.321875	0.100000
79.985000	4.325625	0.100000
79.987000	4.322750	0.100000
79.981000	4.314000	0.100000
79.983000	4.325625	0.100000
79.978000	4.328375	0.100000
79.973000	4.322250	0.100000
79.975000	4.319500	0.100000
79.969000	4.322250	0.100000
79.968000	4.319500	0.100000
79.968000	4.323125	0.100000
79.962000	4.317250	0.100000
79.965000	4.319250	0.100000
79.961000	4.314750	0.100000
79.958000	4.314125	0.100000
79.960000	4.318125	0.100000
79.954000	4.317375	0.100000
79.951000	4.311250	0.100000
79.953000	4.314750	0.100000
79.950000	4.313625	0.100000
79.952000	4.318625	0.100000
79.953000	4.310625	0.100000
79.950000	4.315000	0.100000
79.953000	4.314500	0.100000
79.949000	4.311500	0.100000
79.948000	4.305375	0.100000
79.960000	4.312625	0.100000
79.958000	4.307625	0.100000
79.957000	4.314000	0.100000
79.954000	4.312500	0.100000
79.946000	4.312125	0.100000
79.944000	4.311375	0.100000
79.944000	4.304625	0.100000
79.937000	4.304625	0.100000
79.938000	4.311625	0.100000
79.936000	4.308000	0.100000
79.934000	4.309125	0.100000
79.935000	4.309750	0.100000
79.930000	4.305500	0.100000
79.931000	4.307625	0.100000
79.932000	4.299500	0.100000
79.927000	4.304250	0.100000
79.929000	4.320000	0.100000
79.928000	4.310375	0.100000
79.922000	4.306000	0.100000
79.926000	4.299875	0.100000
79.924000	4.300625	0.100000
79.921000	4.302875	0.100000
79.925000	4.301250	0.100000
79.920000	4.306875	0.100000
79.918000	4.299625	0.100000
79.919000	4.306000	0.100000
79.913000	4.298750	0.100000
79.912000	4.299500	0.100000
79.915000	4.305625	0.100000
79.909000	4.298750	0.100000
79.910000	4.300250	0.100000
79.911000	4.297375	0.100000
79.907000	4.297875	0.100000
79.909000	4.301625	0.100000
79.907000	4.299875	0.100000
79.900000	4.294875	0.100000
79.903000	4.292125	0.100000
79.900000	4.297125	0.100000
79.896000	3.221500	0.100000
79.898000	4.289500	0.100000
79.895000	4.296375	0.100000
79.895000	4.295125	0.100000
79.897000	4.295375	0.100000
79.891000	4.291375	0.100000
79.891000	4.288375	0.100000
79.890000	4.297750	0.100000
79.885000	4.297375	0.100000
79.893000	4.287625	0.100000
79.897000	4.292375	0.100000
79.895000	4.284625	0.100000
79.897000	4.289125	0.100000
79.889000	4.294000	0.100000
79.887000	4.294250	0.100000
79.884000	4.287125	0.100000
79.877000	4.289500	0.100000
79.879000	4.294875	0.100000
79.882000	4.289625	0.100000
79.875000	4.286125	0.100000
79.877000	4.288000	0.100000
79.874000	4.284875	0.100000
79.871000	4.284250	0.100000
79.874000	4.287000	0.100000
79.870000	4.283750	0.100000
79.869000	4.282125	0.100000
79.871000	4.285250	0.100000
79.869000	4.280750	0.100000
79.869000	4.287500	0.100000
79.871000	4.282625	0.100000
79.866000	4.285125	0.100000
79.870000	4.279625	0.100000
79.868000	4.279750	0.100000
79.863000	4.277750	0.100000
79.866000	4.279125	0.100000
79.862000	4.276500	0.100000
79.860000	4.278250	0.100000
79.863000	4.282500	0.100000
79.857000	4.282500	0.100000
79.852000	4.286375	0.100000
79.849000	4.288125	0.100000
79.839000	4.293750	0.100000
79.833000	4.297625	0.100000
79.823000	4.296375	0.100000
79.809000	4.306000	0.100000
79.798000	4.302875	0.100000
79.788000	4.316000	0.100000
79.769000	4.326750	0.100000
79.752000	4.332000	0.100000
79.737000	4.333125	0.100000
79.715000	4.340750	0.100000
79.694000	4.351000	0.100000
79.676000	4.361625	0.100000
79.653000	4.381250	0.100000
79.625000	4.381250	0.100000
79.611000	4.385375	0.100000
79.592000	4.392375	0.100000
79.567000	4.391250	0.100000
79.544000	4.401625	0.100000
79.532000	4.411875	0.100000
79.513000	4.419250	0.100000
79.491000	4.424125	0.100000
79.480000	4.425125	0.100000
79.471000	4.429375	0.100000
79.451000	4.427250	0.100000
79.436000	4.435250	0.100000
79.431000	4.433500	0.100000
79.423000	4.441625	0.100000
79.410000	4.437125	0.100000
79.401000	4.438000	0.100000
79.402000	4.440250	0.100000
79.393000	4.439625	0.100000
79.380000	4.439375	0.100000
79.378000	4.439875	0.100000
79.377000	4.444625	0.100000
79.366000	4.447000	0.100000
79.356000	4.443625	0.100000
79.359000	4.439250	0.100000
79.357000	4.442750	0.100000
79.345000	4.445750	0.100000
79.337000	4.442875	0.100000
79.342000	4.441500	0.100000
79.355000	4.437875	0.100000
79.351000	4.442500	0.100000
79.346000	4.438625	0.100000
79.350000	4.440125	0.100000
79.343000	4.439250	0.100000
79.331000	4.439125	0.100000
79.325000	4.440375	0.100000
79.328000	4.438500	0.100000
79.326000	4.439875	0.100000
79.316000	4.438500	0.100000
79.312000	4.436000	0.100000
79.320000	4.436500	0.100000
79.318000	4.440125	0.100000
79.315000	4.439000	0.100000
79.322000	4.434500	0.100000
79.319000	4.427500	0.100000
79.308000	4.430000	0.100000
79.310000	4.426500	0.100000
79.316000	4.436375	0.100000
79.310000	4.427625	0.100000
79.303000	4.426000	0.100000
79.309000	4.426125	0.100000
79.312000	4.422750	0.100000
79.304000	4.426875	0.100000
79.304000	4.424625	0.100000
79.312000	4.421375	0.100000
79.309000	4.421250	0.100000
79.301000	4.416375	0.100000
79.302000	4.420250	0.100000
79.311000	4.418250	0.100000
79.311000	4.419625	0.100000
79.315000	4.418125	0.100000
79.331000	4.416375	0.100000
79.331000	4.413000	0.100000
79.328000	4.415125	0.100000
79.331000	4.411875	0.100000
79.328000	4.410750	0.100000
79.316000	4.414875	0.100000
79.314000	4.411625	0.100000
79.323000	4.403125	0.100000
79.321000	4.410625	0.100000
79.319000	4.408500	0.100000
79.327000	4.404375	0.100000
79.326000	4.405750	0.100000
79.320000	4.408250	0.100000
79.324000	4.402000	0.100000
79.330000	4.399250	0.100000
79.327000	4.404125	0.100000
79.324000	4.398625	0.100000
79.332000	4.398000	0.100000
79.333000	4.400000	0.100000
79.328000	4.400750	0.100000
79.334000	4.390875	0.100000
79.340000	4.398625	0.100000
79.335000	4.395625	0.100000
79.339000	4.391375	0.100000
79.365000	4.393500	0.100000
79.421000	4.389125	0.100000
79.496000	4.395250	0.100000
79.590000	4.391750	0.100000
79.665000	4.396250	0.100000
79.713000	4.398125	0.100000
79.773000	4.400750	0.100000
79.814000	4.398750	0.100000
79.807000	4.399000	0.100000
79.745000	4.397375	0.100000
79.665000	4.397000	0.100000
79.593000	4.391375	0.100000
79.558000	4.394250	0.100000
79.560000	4.387000	0.100000
79.587000	4.382000	0.100000
79.605000	4.384500	0.100000
79.612000	4.379750	0.100000
79.616000	4.384000	0.100000
79.602000	4.381125	0.100000
79.555000	4.383625	0.100000
79.502000	4.379250	0.100000
79.461000	4.378750	0.100000
79.437000	4.369625	0.100000
79.412000	4.369250	0.100000
79.388000	4.366500	0.100000
79.378000	4.366875	0.100000
79.384000	4.364000	0.100000
79.389000	4.362625	0.100000
79.385000	4.357125	0.100000
79.384000	4.356000	0.100000
79.395000	4.350625	0.100000
79.398000	4.348625	0.100000
79.388000	4.355750	0.100000
79.383000	4.349125	0.100000
79.393000	4.351000	0.100000
79.394000	4.349375	0.100000
79.392000	4.342750	0.100000
79.400000	4.343875	0.100000
79.417000	4.340500	0.100000
79.420000	4.343750	0.100000
79.419000	4.340625	0.100000
79.434000	4.338625	0.100000
79.439000	4.332375	0.100000
79.433000	4.338375	0.100000
79.437000	4.329750	0.100000
79.448000	4.339000	0.100000
79.444000	4.330000	0.100000
79.436000	4.330875	0.100000
79.442000	4.329375	0.100000
79.442000	4.325625	0.100000
79.434000	4.320250	0.100000
79.434000	4.313375	0.100000
79.443000	4.310375	0.100000
79.444000	4.314125	0.100000
79.439000	4.314625	0.100000
79.446000	4.305625	0.100000
79.466000	4.307000	0.100000
79.468000	4.310500	0.100000
79.463000	4.303750	0.100000
79.470000	4.303000	0.100000
79.469000	4.304875	0.100000
79.460000	4.293375	0.100000
79.455000	4.293125	0.100000
79.466000	4.291000	0.100000
79.470000	4.282500	0.100000
79.464000	4.288250	0.100000
