Temperature (K)	Resistance (ohm)	Applied Current (mA)
79.461000	4.284500	0.100000
79.472000	4.287750	0.100000
79.477000	4.282875	0.100000
79.473000	4.274750	0.100000
79.480000	4.280750	0.100000
79.488000	4.272625	0.100000
79.488000	4.276000	0.100000
79.488000	4.265875	0.100000
79.496000	4.270625	0.100000
79.494000	4.261625	0.100000
79.489000	4.258625	0.100000
79.494000	4.263750	0.100000
79.501000	4.259750	0.100000
79.499000	4.257125	0.100000
79.497000	4.252500	0.100000
79.507000	4.251000	0.100000
79.509000	4.249250	0.100000
79.503000	3.184875	0.100000
79.502000	4.240250	0.100000
79.514000	4.242125	0.100000
79.517000	4.246000	0.100000
79.515000	4.238125	0.100000
79.513000	4.240125	0.100000
79.524000	4.238125	0.100000
79.525000	4.226625	0.100000
79.519000	4.226625	0.100000
79.520000	4.228000	0.100000
79.527000	4.229500	0.100000
79.525000	4.227625	0.100000
79.521000	4.220750	0.100000
79.527000	4.216625	0.100000
79.533000	4.210375	0.100000
79.530000	4.213500	0.100000
79.529000	4.211625	0.100000
79.548000	4.213125	0.100000
79.555000	4.209500	0.100000
79.553000	4.203875	0.100000
79.555000	4.196625	0.100000
79.558000	4.203250	0.100000
79.549000	4.193500	0.100000
79.539000	4.199500	0.100000
79.542000	4.199250	0.100000
79.543000	4.192125	0.100000
79.538000	4.186875	0.100000
79.538000	4.183500	0.100000
79.550000	4.185000	0.100000
79.552000	4.177750	0.100000
79.547000	4.179125	0.100000
79.552000	4.185500	0.100000
79.554000	4.174125	0.100000
79.546000	4.168500	0.100000
79.543000	4.169875	0.100000
79.552000	4.166250	0.100000
79.552000	4.174250	0.100000
79.546000	4.168750	0.100000
79.548000	4.162000	0.100000
79.553000	4.158000	0.100000
79.548000	4.159125	0.100000
79.547000	4.154125	0.100000
79.557000	4.150250	0.100000
79.556000	4.153125	0.100000
79.554000	4.147125	0.100000
79.568000	4.150875	0.100000
79.579000	4.143875	0.100000
79.574000	4.146500	0.100000
79.574000	4.140625	0.100000
79.574000	4.140000	0.100000
79.565000	4.133625	0.100000
79.556000	4.137750	0.100000
79.563000	4.134500	0.100000
79.562000	4.124500	0.100000
79.556000	4.127500	0.100000
79.563000	4.117500	0.100000
79.565000	4.121125	0.100000
79.556000	4.122000	0.100000
79.552000	4.114625	0.100000
79.560000	4.113375	0.100000
79.560000	4.107500	0.100000
79.553000	4.110375	0.100000
79.556000	4.109250	0.100000
79.560000	4.110750	0.100000
79.557000	4.103000	0.100000
79.554000	4.104000	0.100000
79.562000	4.099250	0.100000
79.560000	4.100125	0.100000
79.556000	4.096625	0.100000
79.568000	4.094000	0.100000
79.579000	4.096375	0.100000
79.569000	4.095000	0.100000
79.563000	4.092625	0.100000
79.566000	4.086750	0.100000
79.565000	4.090625	0.100000
79.556000	4.080250	0.100000
79.568000	4.083500	0.100000
79.578000	4.082750	0.100000
79.574000	4.082250	0.100000
79.576000	4.083625	0.100000
79.583000	4.080250	0.100000
79.575000	4.073125	0.100000
79.560000	4.076375	0.100000
79.556000	4.066000	0.100000
79.554000	4.071250	0.100000
79.547000	4.066000	0.100000
79.543000	4.072500	0.100000
79.549000	4.064000	0.100000
79.547000	4.063500	0.100000
79.539000	4.061000	0.100000
79.555000	4.063000	0.100000
79.563000	4.061000	0.100000
79.558000	4.056750	0.100000
79.562000	4.060750	0.100000
79.569000	4.060125	0.100000
79.563000	4.059375	0.100000
79.553000	4.045500	0.100000
79.554000	4.050125	0.100000
79.546000	4.046125	0.100000
79.535000	4.049000	0.100000
79.536000	4.044375	0.100000
79.537000	4.036875	0.100000
79.528000	4.047375	0.100000
79.521000	4.037875	0.100000
79.529000	4.036750	0.100000
79.530000	4.034250	0.100000
79.522000	4.041625	0.100000
79.518000	4.037750	0.100000
79.528000	4.039250	0.100000
79.527000	4.031750	0.100000
79.519000	4.045250	0.100000
79.522000	4.037250	0.100000
79.526000	4.031625	0.100000
79.520000	4.027750	0.100000
79.519000	4.027625	0.100000
79.522000	4.029875	0.100000
79.520000	4.025750	0.100000
79.519000	4.017125	0.100000
79.532000	4.020625	0.100000
79.534000	4.018500	0.100000
79.524000	4.020375	0.100000
79.524000	4.024875	0.100000
79.523000	4.017000	0.100000
79.513000	4.019375	0.100000
79.512000	4.020125	0.100000
79.515000	4.014875	0.100000
79.508000	4.013250	0.100000
79.499000	4.008375	0.100000
79.501000	4.014250	0.100000
79.501000	4.015625	0.100000
79.492000	4.011250	0.100000
79.493000	4.011500	0.100000
79.500000	4.009750	0.100000
79.494000	4.017625	0.100000
79.491000	4.022375	0.100000
79.496000	4.006250	0.100000
79.489000	4.004875	0.100000
79.481000	4.002750	0.100000
79.490000	4.005250	0.100000
79.494000	4.004125	0.100000
79.487000	4.002000	0.100000
79.482000	4.001875	0.100000
79.485000	4.005250	0.100000
79.482000	4.002000	0.100000
79.477000	4.007000	0.100000
79.484000	4.001625	0.100000
79.483000	4.003000	0.100000
79.477000	3.998375	0.100000
79.483000	3.999500	0.100000
79.486000	4.000500	0.100000
79.475000	4.003625	0.100000
79.471000	3.993375	0.100000
